meter_id,protocol,support
1,Pulse Output (POP),
2,Modbus RTU,RS485
3,Modbus RTU,RS485
4,Pulse Output (POP),
5,Modbus RTU,RS485
6,"Modbus RTU at 4800, 9600, 19200, 38.4 Kbps",Screw terminal block: RS485
7,"No communication port ",
8,"Modbus RTU, Modbus ASCII, JBUS ","RS485 "
9,"Modbus RTU, Modbus ASCII, JBUS ","RS485 "
10,"Modbus serial ","RS485 "
11,"Modbus TCP/IP ","Ethernet "
12,"Modbus serial ","RS485 "
13,"Modbus serial ","RS485 "
14,"Modbus TCP/IP ","Ethernet "
15,"Modbus TCP/IP ","Ethernet "
16,"Modbus RTU and ASCII at 9.6, 19.2 and 38.4 kbauds even/odd or none - 2 wires, insulation 2500 V","RS485 / ETHERNET"
16,JBUS,"RS485 / ETHERNET"
16,"Modbus TCP/IP at 10/100 Mbit/s, insulation 2500 V","RS485 / ETHERNET"
16,Ethernet Modbus TCP/IP daisy chain,"RS485 / ETHERNET"
16,BACnet IP,"RS485 / ETHERNET"
16,DNP3 over ethernet,"RS485 / ETHERNET"
17,"Modbus RTU and ASCII at 9.6, 19.2 and 38.4 kbauds even/odd or none - 2 wires, insulation 2500 V","RS485 / ETHERNET"
17,JBUS,"RS485 / ETHERNET"
17,"Modbus TCP/IP at 10/100 Mbit/s, insulation 2500 V","RS485 / ETHERNET"
17,Ethernet Modbus TCP/IP daisy chain,"RS485 / ETHERNET"
17,BACnet IP,"RS485 / ETHERNET"
17,DNP3 over ethernet,"RS485 / ETHERNET"
18,"Modbus RTU and ASCII at 9.6, 19.2 and 38.4 kbauds even/odd or none - 2 wires, insulation 2500 V","RS485 / ETHERNET"
18,JBUS,"RS485 / ETHERNET"
18,"Modbus TCP/IP at 10/100 Mbit/s, insulation 2500 V","RS485 / ETHERNET"
18,Ethernet Modbus TCP/IP daisy chain,"RS485 / ETHERNET"
18,BACnet IP,"RS485 / ETHERNET"
18,DNP3 over ethernet ,"RS485 / ETHERNET"
19,Modbus RTU at 115 kbauds - 2-wire,"ETHERNET / Screw terminal block: RS485"
19,ION at 115 kbauds - 2-wire,"ETHERNET / Screw terminal block: RS485"
19,DNP3,"ETHERNET / Screw terminal block: RS485"
19,IEC 61850,"ETHERNET / Screw terminal block: RS485"
19,Modbus TCP/IP,"ETHERNET / Screw terminal block: RS485"
19,Ethernet Modbus TCP/IP daisy chain at 10/100 Mbit/s,"ETHERNET / Screw terminal block: RS485"
19,RSTP 801.1d 2004,"ETHERNET / Screw terminal block: RS485"
20,Modbus RTU at 115 kbauds - 2-wire,"ETHERNET / Screw terminal block: RS485"
20,ION at 115 kbauds - 2-wire,"ETHERNET / Screw terminal block: RS485"
20,DNP3,"ETHERNET / Screw terminal block: RS485"
20,IEC 61850,"ETHERNET / Screw terminal block: RS485"
20,Modbus TCP/IP,"ETHERNET / Screw terminal block: RS485"
20,Ethernet Modbus TCP/IP daisy chain at 10/100 Mbit/s,"ETHERNET / Screw terminal block: RS485"
20,RSTP 801.1d 2004,"ETHERNET / Screw terminal block: RS485"
