meter_id,measurement_type
1,"Current: per-phase, 3-phase average, and calculated neutral"
1,"Voltage: V L-N per-phase and 3-phase average, V L-L per-phase and 3-phase average"
1,"Power: Active (kW), Reactive (kVAR), Apparent (kVA) - phase-wise and total"
1,Power Factor: True PF - per phase and total
1,"Energy: Active (kWh), Reactive (kVARh), Apparent (kVAh) - Delivered and Received"
1,"Demand: Active (kW), Reactive (kVAR), Apparent (kVA), Current (I) - Last, Present, Predictive, Peak (no timestamp)"
1,Frequency
2,"Current: per-phase, 3-phase average, and calculated neutral"
2,"Voltage: V L-N per-phase and 3-phase average, V L-L per-phase and 3-phase average"
2,"Power: Active (kW), Reactive (kVAR), Apparent (kVA) - phase-wise and total"
2,Power Factor: True PF & Displacement PF - per phase and total
2,"Energy: Active (kWh), Reactive (kVARh), Apparent (kVAh) - Delivered and Received"
2,"Demand: Active (kW), Reactive (kVAR), Apparent (kVA), Current (I) - Last, Present, Predictive, Peak (with timestamp)"
2,Frequency
2,Real-time clock (RTC)
2,3 Phase unbalance: Current
3,"Current: per-phase, 3-phase average, and calculated neutral"
3,"Voltage: V L-N per-phase and 3-phase average, V L-L per-phase and 3-phase average"
3,"Power: Active (kW), Reactive (kVAR), Apparent (kVA) - phase-wise and total"
3,Power Factor: True PF & Displacement PF - per phase and total
3,"Energy: Active (kWh), Reactive (kVARh), Apparent (kVAh) - Delivered, Received, Total, Net, Last cleared"
3,"Demand: Active (kW), Reactive (kVAR), Apparent (kVA), Current (I) - Last, Present, Predictive, Peak (with timestamp)"
3,Frequency
3,Real-time clock (RTC)
3,3 Phase unbalance: Current and Voltage
3,"Min/Max with timestamp for average/total V L-L, V L-N, Current, Frequency, Active/Apparent/Reactive Power, Power Factor"
4,"Current: per-phase, 3-phase average, and calculated neutral"
4,Voltage: V L-N and V L-L per-phase and 3-phase average
4,"Power: Active (kW), Reactive (kVAR), Apparent (kVA) - phase-wise and total"
4,Power Factor: True PF
4,"Energy: Active (kWh), Reactive (kVARh), Apparent (kVAh) - Delivered, Received, Total, Net, Non-resettable"
4,Demand: Peak demand (no timestamp)
4,Frequency
5,"Current: per-phase, 3-phase average, and calculated neutral"
5,Voltage: V L-N and V L-L per-phase and 3-phase average
5,"Power: Active (kW), Reactive (kVAR), Apparent (kVA) - phase-wise and total"
5,Power Factor: True PF & Displacement PF
5,"Energy: Active (kWh), Reactive (kVARh), Apparent (kVAh) - Delivered, Received, Total, Net, Last cleared, Non-resettable"
5,"Demand: Active (kW), Reactive (kVAR), Apparent (kVA), Current (I) - with timestamp"
5,3 Phase unbalance: Current and Voltage
5,Min/Max with timestamp
5,Frequency
6,"Apparent power min/max, total"
6,"Active and reactive power min/max, total"
6,"Current min/max, avg"
6,"Voltage min/max, avg"
6,"Frequency min/max, avg"
6,Total current harmonic distortion THD (I) per phase
6,Total voltage harmonic distortion THD (U) per phase
6,"Power factor min/max, avg"
6,Apparent energy total
6,Active and reactive energy total
6,Calculated neutral current
6,"Active power P, P1, P2, P3"
6,"Current I, I1, I2, I3"
6,"Peak demand power PM, QM, SM"
6,"Voltage U, U21, U32, U13, V, V1, V2, V3"
6,Peak demand currents
6,"Reactive power Q, Q1, Q2, Q3"
6,"Demand power P, Q, S"
6,Unbalance current
